APPLICATION DATE,MIDDLE EXCHANGE RATE
2003-01-01,61.5845
2003-01-02,61.5845
2003-01-03,61.5845
2003-01-04,61.6615
2003-01-05,61.6615
2003-01-06,61.6615
2003-01-07,61.6234
2003-01-08,61.6234
2003-01-09,61.6129
2003-01-10,61.7769
2003-01-11,61.7531
2003-01-12,61.7531
2003-01-13,61.7531
2003-01-14,61.7132
2003-01-15,61.8502
2003-01-16,61.9127
2003-01-17,62.0203
2003-01-18,62.0759
2003-01-19,62.0759
2003-01-20,62.0759
2003-01-21,62.0389
2003-01-22,62.151
2003-01-23,62.2691
2003-01-24,62.2317
2003-01-25,62.3516
2003-01-26,62.3516
2003-01-27,62.3516
2003-01-28,62.4731
2003-01-29,62.4427
2003-01-30,62.3721
2003-01-31,62.4138
2003-02-01,62.5671
2003-02-02,62.5671
2003-02-03,62.5671
2003-02-04,62.4532
2003-02-05,62.4193
2003-02-06,62.6617
2003-02-07,62.5633
2003-02-08,62.5407
2003-02-09,62.5407
2003-02-10,62.5407
2003-02-11,62.4851
2003-02-12,62.5098
2003-02-13,62.4692
2003-02-14,62.4872
2003-02-15,62.6828
2003-02-16,62.6828
2003-02-17,62.6828
2003-02-18,62.7975
2003-02-19,62.9434
2003-02-20,62.7617
2003-02-21,62.971
2003-02-22,63.2584
2003-02-23,63.2584
2003-02-24,63.2584
2003-02-25,63.1523
2003-02-26,63.3429
2003-02-27,63.4488
2003-02-28,63.2918
2003-03-01,63.1125
2003-03-02,63.1125
2003-03-03,63.1125
2003-03-04,63.4289
2003-03-05,63.4302
2003-03-06,63.9327
2003-03-07,63.6321
2003-03-08,63.593
2003-03-09,63.593
2003-03-10,63.593
2003-03-11,63.4929
2003-03-12,63.5645
2003-03-13,63.4736
2003-03-14,63.3938
2003-03-15,63.3119
2003-03-16,63.3119
2003-03-17,63.3119
2003-03-18,63.2524
2003-03-19,63.3421
2003-03-20,63.4825
2003-03-21,63.4405
2003-03-22,63.2542
2003-03-23,63.2542
2003-03-24,63.2542
2003-03-25,63.4085
2003-03-26,63.7925
2003-03-27,64.2538
2003-03-28,64.6389
2003-03-29,64.3829
2003-03-30,64.3829
2003-03-31,64.3829
2003-04-01,64.1248
2003-04-02,64.3189
2003-04-03,64.1869
2003-04-04,64.1149
2003-04-05,64.1416
2003-04-06,64.1416
2003-04-07,64.1416
2003-04-08,63.8887
2003-04-09,63.7584
2003-04-10,63.7125
2003-04-11,63.7853
2003-04-12,63.9136
2003-04-13,63.9136
2003-04-14,63.9136
2003-04-15,64.2352
2003-04-16,64.1184
