godina,jan,feb,mar,apr,maj,jun,jul,avg,sep,okt,nov,dec,prosek,zima,proleće,leto,jesen,tsr-amp-mes,tsr leto-zima
1887.0,,,,,,,,20.7,18.8,9.8,7.7,0.3,,,,,12.1,,
1888.0,-6.5,-2.3,7.1,10.9,15.9,20.5,20.8,20.1,18.2,10.9,1.2,1.6,9.86666666666667,-2.83333333333333,11.3,20.4666666666667,10.1,27.3,23.3
1889.0,-4.0,-0.9,3.7,11.0,18.2,20.9,21.4,20.6,13.8,14.8,5.0,-3.5,10.0833333333333,-1.1,10.9666666666667,20.9666666666667,11.2,25.4,22.0666666666667
1890.0,1.3,-1.7,6.5,13.0,17.6,17.9,22.1,24.6,15.3,10.5,7.4,-2.3,11.0166666666667,-1.3,12.3666666666667,21.5333333333333,11.0666666666667,26.9,22.8333333333333
1891.0,-6.4,-4.8,6.5,9.4,19.1,20.4,22.4,22.7,18.0,14.6,6.8,2.8,10.9583333333333,-4.5,11.6666666666667,21.8333333333333,13.1333333333333,29.1,26.3333333333333
1892.0,0.4,2.9,4.7,12.3,16.1,20.2,21.0,23.0,20.1,13.6,3.1,-1.1,11.3583333333333,2.03333333333333,11.0333333333333,21.4,12.2666666666667,24.1,19.3666666666667
1893.0,-9.4,1.4,5.5,9.8,15.2,18.4,21.5,19.4,16.9,13.4,6.4,2.2,10.0583333333333,-3.03333333333333,10.1666666666667,19.7666666666667,12.2333333333333,30.9,22.8
1894.0,-2.3,2.1,6.5,13.8,16.8,18.3,24.7,21.4,16.5,14.2,5.8,-0.3,11.4583333333333,0.666666666666667,12.3666666666667,21.4666666666667,12.1666666666667,27.0,20.8
1895.0,1.3,-4.6,5.0,10.8,16.2,19.8,23.1,20.5,17.5,12.7,7.0,1.5,10.9,-1.2,10.6666666666667,21.1333333333333,12.4,27.7,22.3333333333333
1896.0,-6.4,-0.1,7.9,8.4,15.0,20.0,21.9,21.0,17.6,16.0,5.0,3.1,10.7833333333333,-1.66666666666667,10.4333333333333,20.9666666666667,12.8666666666667,28.3,22.6333333333333
1897.0,0.6,2.5,8.5,11.6,14.3,19.6,22.2,21.5,18.1,9.9,2.7,0.2,10.975,2.06666666666667,11.4666666666667,21.1,10.2333333333333,22.0,19.0333333333333
1898.0,0.8,1.3,6.4,12.9,17.1,20.1,20.4,20.8,16.9,14.4,9.5,2.9,11.9583333333333,0.766666666666667,12.1333333333333,20.4333333333333,13.6,20.0,19.6666666666667
1899.0,4.8,4.2,5.1,12.9,16.6,18.2,20.9,20.0,17.2,10.8,6.8,-1.6,11.325,3.96666666666667,11.5333333333333,19.7,11.6,22.5,15.7333333333333
1900.0,2.1,6.3,3.3,10.8,15.5,19.4,22.4,20.1,17.5,13.4,8.4,2.2,11.7833333333333,2.26666666666667,9.86666666666667,20.6333333333333,13.1,20.3,18.3666666666667
1901.0,-4.7,-1.8,8.0,11.3,16.1,20.2,22.0,19.8,17.1,12.7,4.3,6.0,10.9166666666667,-1.43333333333333,11.8,20.6666666666667,11.3666666666667,26.7,22.1
1902.0,3.1,4.5,5.9,10.6,13.0,18.7,21.0,22.1,17.5,12.3,3.0,-2.4,10.775,4.53333333333333,9.83333333333333,20.6,10.9333333333333,24.5,16.0666666666667
1903.0,0.8,4.6,8.8,9.1,16.2,17.9,20.8,20.8,18.2,12.9,7.3,3.6,11.75,1.0,11.3666666666667,19.8333333333333,12.8,20.0,18.8333333333333
1904.0,-1.1,5.3,5.8,11.5,16.6,20.1,23.4,22.3,15.9,12.5,3.6,2.4,11.525,2.6,11.3,21.9333333333333,10.6666666666667,24.5,19.3333333333333
1905.0,-4.4,0.0,6.0,10.1,17.2,20.1,23.2,23.6,20.2,7.6,9.7,2.4,11.3083333333333,-0.666666666666667,11.1,22.3,12.5,28.0,22.9666666666667
1906.0,0.0,1.8,7.5,12.7,16.4,18.6,22.2,20.5,15.3,11.5,8.6,0.2,11.275,1.4,12.2,20.4333333333333,11.8,22.2,19.0333333333333
1907.0,-1.8,-1.8,2.1,8.6,19.9,20.2,21.7,22.2,17.8,27.7,5.4,4.7,12.225,-1.13333333333333,10.2,21.3666666666667,16.9666666666667,29.5,22.5
1908.0,-2.4,1.6,5.9,10.6,20.2,22.2,21.3,20.3,16.0,10.4,1.4,0.0,10.625,1.3,12.2333333333333,21.2666666666667,9.26666666666667,24.6,19.9666666666667
1909.0,-3.1,-3.5,6.6,12.2,15.8,19.1,21.2,22.5,18.0,14.0,4.7,6.1,11.1333333333333,-2.2,11.5333333333333,20.9333333333333,12.2333333333333,26.0,23.1333333333333
1910.0,2.6,5.6,6.9,11.2,16.0,20.1,20.3,20.6,15.6,11.8,6.2,5.3,11.85,4.76666666666667,11.3666666666667,20.3333333333333,11.2,18.0,15.5666666666667
1911.0,0.5,-0.5,6.2,10.3,16.2,19.4,22.8,22.1,17.8,13.2,9.7,3.8,11.7916666666667,1.76666666666667,10.9,21.4333333333333,13.5666666666667,23.3,19.6666666666667
1912.0,-1.6,5.6,9.7,8.2,15.4,20.4,21.4,19.2,12.0,9.7,3.9,3.4,10.6083333333333,2.6,11.1,20.3333333333333,8.53333333333333,23.0,17.7333333333333
1913.0,-0.6,0.6,9.5,11.8,14.8,19.1,18.2,18.5,17.0,12.9,7.9,2.4,11.0083333333333,1.13333333333333,12.0333333333333,18.6,12.6,19.7,17.4666666666667
1914.0,-5.5,-1.4,7.9,12.3,15.7,18.2,20.3,20.6,15.2,10.5,4.5,4.3,10.2166666666667,-1.5,11.9666666666667,19.7,10.0666666666667,26.1,21.2
1915.0,3.3,3.0,5.2,10.4,15.7,20.4,20.9,18.7,14.4,10.9,5.1,6.0,11.1666666666667,3.53333333333333,10.4333333333333,20.0,10.1333333333333,17.9,16.4666666666667
1916.0,3.1,1.6,10.3,11.2,16.3,20.6,21.6,20.3,15.5,11.6,8.3,5.9,12.1916666666667,3.56666666666667,12.6,20.8333333333333,11.8,20.0,17.2666666666667
1917.0,1.4,-4.7,5.1,11.0,16.5,20.9,21.8,23.7,19.3,13.4,6.7,0.0,11.2583333333333,0.866666666666667,10.8666666666667,22.1333333333333,13.1333333333333,28.4,21.2666666666667
